,target,target_country,source,source_country,fee,fee_cleaned,season,transfer_period
20096,SD Eibar,Spain,Real Sociedad,Spain,free transfer,0.0,2015/2016,Winter
20097,UD Las Palmas,Spain,Rubin Kazan,Russia,loan transfer,,2015/2016,Winter
20098,Real Betis Balompié,Spain,FC Barcelona,Spain,loan transfer,,2015/2016,Winter
20099,FC Barcelona,Spain,Valencia CF,Spain,€37.00m,37.0,2016/2017,Summer
20100,FC Barcelona,Spain,Valencia CF,Spain,€30.00m,30.0,2016/2017,Summer
20101,FC Barcelona,Spain,Olympique Lyon,France,€25.00m,25.0,2016/2017,Summer
20102,FC Barcelona,Spain,Paris Saint-Germain,France,€16.50m,16.5,2016/2017,Summer
20103,FC Barcelona,Spain,Ajax Amsterdam,Netherlands,€13.00m,13.0,2016/2017,Summer
20104,FC Barcelona,Spain,Villarreal CF,Spain,€3.25m,3.25,2016/2017,Summer
20105,FC Barcelona,Spain,Real Betis Balompié,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20106,FC Barcelona,Spain,AC Fiorentina,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
20107,FC Barcelona,Spain,West Ham United,England,"End of loanJun 30, 2016",,2016/2017,Summer
20108,FC Barcelona,Spain,Sporting Gijón,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20109,Real Madrid,Spain,Juventus FC,Italy,€30.00m,30.0,2016/2017,Summer
20110,Real Madrid,Spain,Valencia CF,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20111,Real Madrid,Spain,Olympique Marseille,France,"End of loanJun 30, 2016",,2016/2017,Summer
20112,Real Madrid,Spain,AS Monaco,France,"End of loanJun 30, 2016",,2016/2017,Summer
20113,Real Madrid,Spain,RCD Espanyol Barcelona,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20114,Real Madrid,Spain,Sporting Gijón,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20115,Real Madrid,Spain,RCD Espanyol Barcelona,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20116,Atlético de Madrid,Spain,Sevilla FC,Spain,€32.00m,32.0,2016/2017,Summer
20117,Atlético de Madrid,Spain,SL Benfica,Portugal,€25.00m,25.0,2016/2017,Summer
20118,Atlético de Madrid,Spain,US Sassuolo,Italy,€14.00m,14.0,2016/2017,Summer
20119,Atlético de Madrid,Spain,FC Paços de Ferreira,Portugal,€7.00m,7.0,2016/2017,Summer
20120,Atlético de Madrid,Spain,AC Milan,Italy,free transfer,0.0,2016/2017,Summer
20121,Atlético de Madrid,Spain,Genoa 1893,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
20122,Atlético de Madrid,Spain,SD Eibar,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20123,Atlético de Madrid,Spain,Olympique Marseille,France,"End of loanJun 30, 2016",,2016/2017,Summer
20124,Atlético de Madrid,Spain,CF Os Belenenses,Portugal,"End of loanAug 16, 2016",,2016/2017,Summer
20125,Atlético de Madrid,Spain,Inter Milan,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
20126,Atlético de Madrid,Spain,Villarreal CF,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20127,Atlético de Madrid,Spain,VfL Wolfsburg,Germany,"End of loanJun 30, 2016",,2016/2017,Summer
20128,Atlético de Madrid,Spain,SL Benfica,Portugal,"End of loanJun 30, 2016",,2016/2017,Summer
20129,Athletic Bilbao,Spain,Middlesbrough FC,England,"End of loanJun 30, 2016",,2016/2017,Summer
20130,Athletic Bilbao,Spain,CD Leganés,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20131,Athletic Bilbao,Spain,CD Leganés,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20132,Athletic Bilbao,Spain,CD Leganés,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20133,Villarreal CF,Spain,UC Sampdoria,Italy,€13.75m,13.75,2016/2017,Summer
20134,Villarreal CF,Spain,US Sassuolo,Italy,€13.00m,13.0,2016/2017,Summer
20135,Villarreal CF,Spain,Real Betis Balompié,Spain,€8.00m,8.0,2016/2017,Summer
20136,Villarreal CF,Spain,Real Madrid,Spain,€7.00m,7.0,2016/2017,Summer
20137,Villarreal CF,Spain,RCD Espanyol Barcelona,Spain,€4.00m,4.0,2016/2017,Summer
20138,Villarreal CF,Spain,FC Porto,Portugal,loan transfer,,2016/2017,Summer
20139,Villarreal CF,Spain,FC Porto,Portugal,loan transfer,,2016/2017,Summer
20140,Villarreal CF,Spain,Atlético de Madrid,Spain,loan transfer,,2016/2017,Summer
20141,Villarreal CF,Spain,SD Eibar,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20142,Real Betis Balompié,Spain,AS Roma,Italy,€7.50m,7.5,2016/2017,Summer
20143,Real Betis Balompié,Spain,Twente Enschede FC,Netherlands,€3.50m,3.5,2016/2017,Summer
20144,Real Betis Balompié,Spain,Montpellier HSC,France,€2.60m,2.6,2016/2017,Summer
20145,Real Betis Balompié,Spain,Villarreal CF,Spain,loan transfer,,2016/2017,Summer
20146,Real Betis Balompié,Spain,Deportivo Alavés,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20147,Sevilla FC,Spain,UC Sampdoria,Italy,€18.20m,18.2,2016/2017,Summer
20148,Sevilla FC,Spain,US Palermo,Italy,€16.80m,16.8,2016/2017,Summer
20149,Sevilla FC,Spain,FC Toulouse,France,€9.50m,9.5,2016/2017,Summer
20150,Sevilla FC,Spain,Atlético de Madrid,Spain,Loan fee:€3.00m,3.0,2016/2017,Summer
20151,Sevilla FC,Spain,Atlético de Madrid,Spain,Loan fee:€2.00m,2.0,2016/2017,Summer
20152,Sevilla FC,Spain,Manchester City,England,loan transfer,,2016/2017,Summer
20153,Sevilla FC,Spain,Paris Saint-Germain,France,loan transfer,,2016/2017,Summer
20154,Sevilla FC,Spain,Torino FC,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
20155,Deportivo Alavés,Spain,NEC Nijmegen,Netherlands,free transfer,0.0,2016/2017,Summer
20156,Deportivo Alavés,Spain,Athletic Bilbao,Spain,free transfer,0.0,2016/2017,Summer
20157,Deportivo Alavés,Spain,UC Sampdoria,Italy,free transfer,0.0,2016/2017,Summer
20158,Deportivo Alavés,Spain,Granada CF,Spain,free transfer,0.0,2016/2017,Summer
20159,Deportivo Alavés,Spain,Manchester City,England,loan transfer,,2016/2017,Summer
20160,Deportivo Alavés,Spain,Villarreal CF,Spain,loan transfer,,2016/2017,Summer
20161,Deportivo Alavés,Spain,Atlético de Madrid,Spain,loan transfer,,2016/2017,Summer
20162,Deportivo Alavés,Spain,Villarreal CF,Spain,loan transfer,,2016/2017,Summer
20163,Deportivo Alavés,Spain,Real Madrid,Spain,loan transfer,,2016/2017,Summer
20164,CD Leganés,Spain,Juventus FC,Italy,€2.50m,2.5,2016/2017,Summer
20165,CD Leganés,Spain,Athletic Bilbao,Spain,free transfer,0.0,2016/2017,Summer
20166,CD Leganés,Spain,Sporting Gijón,Spain,free transfer,0.0,2016/2017,Summer
20167,CD Leganés,Spain,Villarreal CF,Spain,loan transfer,,2016/2017,Summer
20168,CD Leganés,Spain,Juventus FC,Italy,loan transfer,,2016/2017,Summer
20169,CD Leganés,Spain,Valencia CF,Spain,loan transfer,,2016/2017,Summer
20170,CD Leganés,Spain,Granada CF,Spain,loan transfer,,2016/2017,Summer
20171,CD Leganés,Spain,Granada CF,Spain,loan transfer,,2016/2017,Summer
20172,CD Leganés,Spain,Athletic Bilbao,Spain,loan transfer,,2016/2017,Summer
20173,RCD Espanyol Barcelona,Spain,Atlético de Madrid,Spain,€7.00m,7.0,2016/2017,Summer
20174,RCD Espanyol Barcelona,Spain,SSC Napoli,Italy,€4.00m,4.0,2016/2017,Summer
20175,RCD Espanyol Barcelona,Spain,Watford FC,England,€1.20m,1.2,2016/2017,Summer
20176,RCD Espanyol Barcelona,Spain,Valencia CF,Spain,€1.00m,1.0,2016/2017,Summer
20177,RCD Espanyol Barcelona,Spain,Valencia CF,Spain,Loan fee:€200Th.,0.2,2016/2017,Summer
20178,RCD Espanyol Barcelona,Spain,Manchester City,England,free transfer,0.0,2016/2017,Summer
20179,RCD Espanyol Barcelona,Spain,Sevilla FC,Spain,free transfer,0.0,2016/2017,Summer
20180,RCD Espanyol Barcelona,Spain,FC Porto,Portugal,loan transfer,,2016/2017,Summer
20181,RCD Espanyol Barcelona,Spain,AC Milan,Italy,loan transfer,,2016/2017,Summer
20182,Granada CF,Spain,SL Benfica,Portugal,€4.00m,4.0,2016/2017,Summer
20183,Granada CF,Spain,FC Barcelona,Spain,loan transfer,,2016/2017,Summer
20184,Granada CF,Spain,Swansea City,England,loan transfer,,2016/2017,Summer
20185,Granada CF,Spain,Watford FC,England,loan transfer,,2016/2017,Summer
20186,Granada CF,Spain,AS Roma,Italy,loan transfer,,2016/2017,Summer
20187,Granada CF,Spain,Málaga CF,Spain,loan transfer,,2016/2017,Summer
20188,Granada CF,Spain,Udinese Calcio,Italy,loan transfer,,2016/2017,Summer
20189,Granada CF,Spain,Torino FC,Italy,loan transfer,,2016/2017,Summer
20190,Granada CF,Spain,Manchester United,England,loan transfer,,2016/2017,Summer
20191,Granada CF,Spain,FC Porto,Portugal,loan transfer,,2016/2017,Summer
20192,Granada CF,Spain,Valencia CF,Spain,loan transfer,,2016/2017,Summer
20193,Granada CF,Spain,CA Osasuna,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20194,Granada CF,Spain,Real Sociedad,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20195,Granada CF,Spain,1.FSV Mainz 05,Germany,"End of loanJun 30, 2016",,2016/2017,Summer
20196,Granada CF,Spain,FC Lorient,France,"End of loanJun 30, 2016",,2016/2017,Summer
20197,SD Eibar,Spain,SV Werder Bremen,Germany,€1.50m,1.5,2016/2017,Summer
20198,SD Eibar,Spain,SL Benfica,Portugal,€1.50m,1.5,2016/2017,Summer
20199,SD Eibar,Spain,Manchester City,England,€1.50m,1.5,2016/2017,Summer
20200,SD Eibar,Spain,RCD Espanyol Barcelona,Spain,€700Th.,0.7,2016/2017,Summer
20201,SD Eibar,Spain,CD Leganés,Spain,€200Th.,0.2,2016/2017,Summer
20202,SD Eibar,Spain,Valencia CF,Spain,loan transfer,,2016/2017,Summer
20203,SD Eibar,Spain,Granada CF,Spain,loan transfer,,2016/2017,Summer
20204,Celta de Vigo,Spain,AC Fiorentina,Italy,free transfer,0.0,2016/2017,Summer
20205,Celta de Vigo,Spain,AC Fiorentina,Italy,loan transfer,,2016/2017,Summer
20206,Sporting Gijón,Spain,Cagliari Calcio,Italy,Loan fee:€500Th.,0.5,2016/2017,Summer
20207,Sporting Gijón,Spain,Granada CF,Spain,free transfer,0.0,2016/2017,Summer
20208,Sporting Gijón,Spain,Real Betis Balompié,Spain,free transfer,0.0,2016/2017,Summer
20209,Sporting Gijón,Spain,Villarreal CF,Spain,free transfer,0.0,2016/2017,Summer
20210,Sporting Gijón,Spain,SD Eibar,Spain,free transfer,0.0,2016/2017,Summer
20211,Sporting Gijón,Spain,Athletic Bilbao,Spain,free transfer,0.0,2016/2017,Summer
20212,Sporting Gijón,Spain,FC Barcelona,Spain,loan transfer,,2016/2017,Summer
20213,Sporting Gijón,Spain,Villarreal CF,Spain,loan transfer,,2016/2017,Summer
20214,Sporting Gijón,Spain,Real Madrid,Spain,loan transfer,,2016/2017,Summer
20215,Deportivo de La Coruña,Spain,Watford FC,England,loan transfer,,2016/2017,Summer
20216,Deportivo de La Coruña,Spain,Stoke City,England,loan transfer,,2016/2017,Summer
20217,Deportivo de La Coruña,Spain,Manchester City,England,loan transfer,,2016/2017,Summer
20218,Deportivo de La Coruña,Spain,Udinese Calcio,Italy,loan transfer,,2016/2017,Summer
20219,Real Sociedad,Spain,Southampton FC,England,€5.00m,5.0,2016/2017,Summer
20220,Real Sociedad,Spain,Manchester City,England,loan transfer,,2016/2017,Summer
20221,Real Sociedad,Spain,FC Augsburg,Germany,"End of loanJun 30, 2016",,2016/2017,Summer
20222,Málaga CF,Spain,SD Eibar,Spain,€5.00m,5.0,2016/2017,Summer
20223,Málaga CF,Spain,Olympique Lyon,France,€800Th.,0.8,2016/2017,Summer
20224,Málaga CF,Spain,FC Barcelona,Spain,free transfer,0.0,2016/2017,Summer
20225,Málaga CF,Spain,Sporting Gijón,Spain,free transfer,0.0,2016/2017,Summer
20226,Málaga CF,Spain,Real Madrid,Spain,loan transfer,,2016/2017,Summer
20227,Málaga CF,Spain,Moreirense FC,Portugal,"End of loanJun 30, 2016",,2016/2017,Summer
20228,Valencia CF,Spain,Zenit St. Petersburg,Russia,€24.00m,24.0,2016/2017,Summer
20229,Valencia CF,Spain,Real Madrid,Spain,€1.50m,1.5,2016/2017,Summer
20230,Valencia CF,Spain,FC Barcelona,Spain,free transfer,0.0,2016/2017,Summer
20231,Valencia CF,Spain,Manchester City,England,loan transfer,,2016/2017,Summer
20232,Valencia CF,Spain,Watford FC,England,loan transfer,,2016/2017,Summer
20233,Valencia CF,Spain,FC Barcelona,Spain,loan transfer,,2016/2017,Summer
20234,Valencia CF,Spain,Granada CF,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20235,Valencia CF,Spain,Deportivo de La Coruña,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20236,UD Las Palmas,Spain,Rubin Kazan,Russia,€2.00m,2.0,2016/2017,Summer
20237,UD Las Palmas,Spain,Rubin Kazan,Russia,free transfer,0.0,2016/2017,Summer
20238,UD Las Palmas,Spain,FC Paços de Ferreira,Portugal,free transfer,0.0,2016/2017,Summer
20239,UD Las Palmas,Spain,AC Milan,Italy,free transfer,0.0,2016/2017,Summer
20240,UD Las Palmas,Spain,CD Leganés,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
20241,CA Osasuna,Spain,RCD Espanyol Barcelona,Spain,free transfer,0.0,2016/2017,Summer
20242,CA Osasuna,Spain,RCD Espanyol Barcelona,Spain,free transfer,0.0,2016/2017,Summer
20243,CA Osasuna,Spain,Udinese Calcio,Italy,free transfer,0.0,2016/2017,Summer
20244,CA Osasuna,Spain,Deportivo de La Coruña,Spain,loan transfer,,2016/2017,Summer
20245,CA Osasuna,Spain,Real Betis Balompié,Spain,loan transfer,,2016/2017,Summer
20246,Villarreal CF,Spain,FC Porto,Portugal,loan transfer,,2016/2017,Winter
20247,Villarreal CF,Spain,Deportivo Alavés,Spain,"End of loanJan 30, 2017",,2016/2017,Winter
20248,Villarreal CF,Spain,Deportivo Alavés,Spain,"End of loanJan 26, 2017",,2016/2017,Winter
20249,Real Betis Balompié,Spain,Real Sociedad,Spain,loan transfer,,2016/2017,Winter
20250,Sevilla FC,Spain,AS Nancy-Lorraine,France,€5.40m,5.4,2016/2017,Winter
20251,Sevilla FC,Spain,Inter Milan,Italy,loan transfer,,2016/2017,Winter
20252,Deportivo Alavés,Spain,AC Milan,Italy,loan transfer,,2016/2017,Winter
20253,CD Leganés,Spain,UD Las Palmas,Spain,free transfer,0.0,2016/2017,Winter
20254,CD Leganés,Spain,Athletic Bilbao,Spain,loan transfer,,2016/2017,Winter
20255,CD Leganés,Spain,Rubin Kazan,Russia,loan transfer,,2016/2017,Winter
20256,CD Leganés,Spain,Granada CF,Spain,loan transfer,,2016/2017,Winter
20257,CD Leganés,Spain,FC Porto,Portugal,loan transfer,,2016/2017,Winter
20258,Granada CF,Spain,CD Nacional,Portugal,€1.00m,1.0,2016/2017,Winter
20259,Granada CF,Spain,Udinese Calcio,Italy,loan transfer,,2016/2017,Winter
20260,Granada CF,Spain,Borussia Dortmund,Germany,loan transfer,,2016/2017,Winter
20261,Granada CF,Spain,Real Sociedad,Spain,loan transfer,,2016/2017,Winter
20262,Granada CF,Spain,Udinese Calcio,Italy,"End of loanJan 30, 2017",,2016/2017,Winter
20263,Sporting Gijón,Spain,Athletic Bilbao,Spain,loan transfer,,2016/2017,Winter
20264,Sporting Gijón,Spain,AS Monaco,France,loan transfer,,2016/2017,Winter
20265,Sporting Gijón,Spain,AS Monaco,France,loan transfer,,2016/2017,Winter
20266,Deportivo de La Coruña,Spain,Valencia CF,Spain,free transfer,0.0,2016/2017,Winter
20267,Deportivo de La Coruña,Spain,SL Benfica,Portugal,loan transfer,,2016/2017,Winter
20268,Real Sociedad,Spain,Manchester City,England,€7.00m,7.0,2016/2017,Winter
20269,Málaga CF,Spain,Leicester City,England,€2.00m,2.0,2016/2017,Winter
20270,Málaga CF,Spain,RCD Espanyol Barcelona,Spain,free transfer,0.0,2016/2017,Winter
20271,Málaga CF,Spain,Watford FC,England,loan transfer,,2016/2017,Winter
20272,Málaga CF,Spain,1.FSV Mainz 05,Germany,loan transfer,,2016/2017,Winter
20273,Valencia CF,Spain,Juventus FC,Italy,Loan fee:€2.00m,2.0,2016/2017,Winter
20274,Valencia CF,Spain,Celta de Vigo,Spain,loan transfer,,2016/2017,Winter
20275,UD Las Palmas,Spain,Hamburger SV,Germany,Loan fee:€500Th.,0.5,2016/2017,Winter
20276,UD Las Palmas,Spain,Paris Saint-Germain,France,loan transfer,,2016/2017,Winter
20277,CA Osasuna,Spain,Paris Saint-Germain,France,loan transfer,,2016/2017,Winter
20278,Real Madrid,Spain,Atlético de Madrid,Spain,€24.00m,24.0,2017/2018,Summer
20279,Real Madrid,Spain,Real Betis Balompié,Spain,€16.50m,16.5,2017/2018,Summer
20280,Real Madrid,Spain,Eintracht Frankfurt,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
20281,Real Madrid,Spain,Deportivo Alavés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20282,Real Madrid,Spain,VfL Wolfsburg,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
20283,Real Madrid,Spain,Málaga CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20284,FC Barcelona,Spain,Borussia Dortmund,Germany,€140.00m,140.0,2017/2018,Summer
20285,FC Barcelona,Spain,SL Benfica,Portugal,€35.70m,35.7,2017/2018,Summer
20286,FC Barcelona,Spain,Everton FC,England,€12.00m,12.0,2017/2018,Summer
20287,FC Barcelona,Spain,Valencia CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20288,FC Barcelona,Spain,AC Fiorentina,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
20289,FC Barcelona,Spain,AS Roma,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
20290,Atlético de Madrid,Spain,Sevilla FC,Spain,€35.60m,35.6,2017/2018,Summer
20291,Atlético de Madrid,Spain,Valencia CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20292,Atlético de Madrid,Spain,FC Porto,Portugal,"End of loanJun 30, 2017",,2017/2018,Summer
20293,Atlético de Madrid,Spain,FC Porto,Portugal,"End of loanJun 30, 2017",,2017/2018,Summer
20294,Atlético de Madrid,Spain,SC Braga,Portugal,"End of loanJun 30, 2017",,2017/2018,Summer
20295,Atlético de Madrid,Spain,Vitória Guimarães SC,Portugal,"End of loanJun 30, 2017",,2017/2018,Summer
20296,Atlético de Madrid,Spain,Villarreal CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20297,Atlético de Madrid,Spain,Deportivo Alavés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20298,Atlético de Madrid,Spain,Sevilla FC,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20299,Atlético de Madrid,Spain,Sevilla FC,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20300,Sevilla FC,Spain,UC Sampdoria,Italy,€24.50m,24.5,2017/2018,Summer
20301,Sevilla FC,Spain,Manchester City,England,€7.00m,7.0,2017/2018,Summer
20302,Sevilla FC,Spain,Inter Milan,Italy,€7.00m,7.0,2017/2018,Summer
20303,Sevilla FC,Spain,LOSC Lille,France,€5.00m,5.0,2017/2018,Summer
20304,Sevilla FC,Spain,FC Schalke 04,Germany,Loan fee:€2.00m,2.0,2017/2018,Summer
20305,Sevilla FC,Spain,Manchester City,England,free transfer,0.0,2017/2018,Summer
20306,Sevilla FC,Spain,Levante UD,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20307,Sevilla FC,Spain,FC Schalke 04,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
20308,Sevilla FC,Spain,AC Fiorentina,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
20309,Villarreal CF,Spain,Sporting CP,Portugal,€14.00m,14.0,2017/2018,Summer
20310,Villarreal CF,Spain,Manchester City,England,€14.00m,14.0,2017/2018,Summer
20311,Villarreal CF,Spain,Málaga CF,Spain,€12.00m,12.0,2017/2018,Summer
20312,Villarreal CF,Spain,AC Milan,Italy,Loan fee:€2.50m,2.5,2017/2018,Summer
20313,Villarreal CF,Spain,FC Porto,Portugal,€2.00m,2.0,2017/2018,Summer
20314,Villarreal CF,Spain,CD Leganés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20315,Real Sociedad,Spain,Real Madrid,Spain,€11.00m,11.0,2017/2018,Summer
20316,Real Sociedad,Spain,Manchester United,England,€8.50m,8.5,2017/2018,Summer
20317,Real Sociedad,Spain,Real Betis Balompié,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20318,Athletic Bilbao,Spain,CD Leganés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20319,Athletic Bilbao,Spain,CD Leganés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20320,RCD Espanyol Barcelona,Spain,FK Krasnodar,Russia,€2.50m,2.5,2017/2018,Summer
20321,RCD Espanyol Barcelona,Spain,Valencia CF,Spain,€1.30m,1.3,2017/2018,Summer
20322,RCD Espanyol Barcelona,Spain,Olympique Lyon,France,Loan fee:€300Th.,0.3,2017/2018,Summer
20323,RCD Espanyol Barcelona,Spain,AC Milan,Italy,free transfer,0.0,2017/2018,Summer
20324,RCD Espanyol Barcelona,Spain,Real Sociedad,Spain,free transfer,0.0,2017/2018,Summer
20325,RCD Espanyol Barcelona,Spain,Rubin Kazan,Russia,loan transfer,,2017/2018,Summer
20326,RCD Espanyol Barcelona,Spain,Tottenham Hotspur,England,"End of loanJun 30, 2017",,2017/2018,Summer
20327,RCD Espanyol Barcelona,Spain,Levante UD,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20328,Deportivo Alavés,Spain,Real Madrid,Spain,€3.00m,3.0,2017/2018,Summer
20329,Deportivo Alavés,Spain,AC Milan,Italy,€2.80m,2.8,2017/2018,Summer
20330,Deportivo Alavés,Spain,Manchester City,England,€2.00m,2.0,2017/2018,Summer
20331,Deportivo Alavés,Spain,RCD Espanyol Barcelona,Spain,€400Th.,0.4,2017/2018,Summer
20332,Deportivo Alavés,Spain,Villarreal CF,Spain,loan transfer,,2017/2018,Summer
20333,Deportivo Alavés,Spain,Valencia CF,Spain,loan transfer,,2017/2018,Summer
20334,Deportivo Alavés,Spain,Stoke City,England,loan transfer,,2017/2018,Summer
20335,Deportivo Alavés,Spain,Real Sociedad,Spain,loan transfer,,2017/2018,Summer
20336,Deportivo Alavés,Spain,FC Barcelona,Spain,loan transfer,,2017/2018,Summer
20337,SD Eibar,Spain,Sporting CP,Portugal,€4.00m,4.0,2017/2018,Summer
20338,SD Eibar,Spain,RCD Espanyol Barcelona,Spain,€3.80m,3.8,2017/2018,Summer
20339,SD Eibar,Spain,Valencia CF,Spain,€750Th.,0.75,2017/2018,Summer
20340,SD Eibar,Spain,Málaga CF,Spain,free transfer,0.0,2017/2018,Summer
20341,SD Eibar,Spain,Real Sociedad,Spain,free transfer,0.0,2017/2018,Summer
20342,SD Eibar,Spain,FC Porto,Portugal,free transfer,0.0,2017/2018,Summer
20343,Málaga CF,Spain,SC Braga,Portugal,free transfer,0.0,2017/2018,Summer
20344,Málaga CF,Spain,OGC Nice,France,free transfer,0.0,2017/2018,Summer
20345,Málaga CF,Spain,SD Eibar,Spain,free transfer,0.0,2017/2018,Summer
20346,Málaga CF,Spain,FC Girondins Bordeaux,France,loan transfer,,2017/2018,Summer
20347,Málaga CF,Spain,Swansea City,England,loan transfer,,2017/2018,Summer
20348,Málaga CF,Spain,RCD Espanyol Barcelona,Spain,loan transfer,,2017/2018,Summer
20349,Málaga CF,Spain,Vitesse Arnhem,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
20350,Málaga CF,Spain,Girona FC,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20351,Málaga CF,Spain,SC Braga,Portugal,"End of loanJun 30, 2017",,2017/2018,Summer
20352,Valencia CF,Spain,Juventus FC,Italy,€16.00m,16.0,2017/2018,Summer
20353,Valencia CF,Spain,Arsenal FC,England,€11.00m,11.0,2017/2018,Summer
20354,Valencia CF,Spain,Juventus FC,Italy,€7.00m,7.0,2017/2018,Summer
20355,Valencia CF,Spain,Celta de Vigo,Spain,€3.00m,3.0,2017/2018,Summer
20356,Valencia CF,Spain,Manchester United,England,Loan fee:€3.00m,3.0,2017/2018,Summer
20357,Valencia CF,Spain,Inter Milan,Italy,Loan fee:€1.00m,1.0,2017/2018,Summer
20358,Valencia CF,Spain,Inter Milan,Italy,loan transfer,,2017/2018,Summer
20359,Valencia CF,Spain,Paris Saint-Germain,France,loan transfer,,2017/2018,Summer
20360,Valencia CF,Spain,CD Leganés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20361,Valencia CF,Spain,RCD Espanyol Barcelona,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20362,Valencia CF,Spain,SD Eibar,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20363,Celta de Vigo,Spain,Borussia Dortmund,Germany,€13.00m,13.0,2017/2018,Summer
20364,Celta de Vigo,Spain,Valencia CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20365,UD Las Palmas,Spain,Chelsea FC,England,free transfer,0.0,2017/2018,Summer
20366,UD Las Palmas,Spain,AS Saint-Étienne,France,loan transfer,,2017/2018,Summer
20367,UD Las Palmas,Spain,Atlético de Madrid,Spain,loan transfer,,2017/2018,Summer
20368,UD Las Palmas,Spain,FC Barcelona,Spain,loan transfer,,2017/2018,Summer
20369,Real Betis Balompié,Spain,Montpellier HSC,France,€7.00m,7.0,2017/2018,Summer
20370,Real Betis Balompié,Spain,Levante UD,Spain,€7.00m,7.0,2017/2018,Summer
20371,Real Betis Balompié,Spain,FC Barcelona,Spain,€4.00m,4.0,2017/2018,Summer
20372,Real Betis Balompié,Spain,Deportivo Alavés,Spain,€2.50m,2.5,2017/2018,Summer
20373,Real Betis Balompié,Spain,PSV Eindhoven,Netherlands,€2.50m,2.5,2017/2018,Summer
20374,Real Betis Balompié,Spain,Zenit St. Petersburg,Russia,€1.50m,1.5,2017/2018,Summer
20375,Real Betis Balompié,Spain,Swansea City,England,loan transfer,,2017/2018,Summer
20376,Real Betis Balompié,Spain,Arsenal FC,England,loan transfer,,2017/2018,Summer
20377,Real Betis Balompié,Spain,Getafe CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20378,Real Betis Balompié,Spain,Getafe CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
20379,Deportivo de La Coruña,Spain,Udinese Calcio,Italy,€4.50m,4.5,2017/2018,Summer
20380,Deportivo de La Coruña,Spain,TSG 1899 Hoffenheim,Germany,€3.00m,3.0,2017/2018,Summer
20381,Deportivo de La Coruña,Spain,Watford FC,England,€1.00m,1.0,2017/2018,Summer
20382,Deportivo de La Coruña,Spain,Valencia CF,Spain,loan transfer,,2017/2018,Summer
20383,Deportivo de La Coruña,Spain,FC Porto,Portugal,loan transfer,,2017/2018,Summer
20384,Deportivo de La Coruña,Spain,Arsenal FC,England,loan transfer,,2017/2018,Summer
20385,Deportivo de La Coruña,Spain,Watford FC,England,loan transfer,,2017/2018,Summer
